SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,REB,AST,TOV,PLUS_MINUS,FG_PCT,FG3_PCT,FT_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,normalized_player_name,player_group,bucks_guard_position,roster_guard_source,AST_TOV_CALC,playmaking_value_index,scoring_efficiency_index,half_court_creator_index,turnover_risk_index,performance_argument_score
2023-24,1631157,Ryan Rollins,1610612749,MIL,21.0,13,6.0,3.4,1.0,1.1,0.6,4.8,0.519,0.75,0.765,118.9,83.4,35.4,0.209,1.75,25.0,14.3,0.574,0.638,0.214,107.9,0.16,ryan rollins,Milwaukee Bucks Guard,Bucks Guard,Roster Position,1.8333333333333335,13.385,34.05,31.169249999999998,6.205,28.9975
2023-24,1626192,Pat Connaughton,1610612749,MIL,31.0,76,22.1,5.6,3.1,2.1,0.6,-0.2,0.435,0.345,0.759,115.1,115.9,-0.8,0.123,3.29,27.7,8.4,0.553,0.574,0.106,101.34,0.066,pat connaughton,Milwaukee Bucks Guard,Bucks Guard,Roster Position,3.5000000000000004,15.255,28.71,29.948749999999997,4.14,28.49975
2023-24,1627736,Malik Beasley,1610612749,MIL,27.0,79,29.6,11.3,3.7,1.4,0.7,3.7,0.443,0.413,0.714,118.3,112.6,5.8,0.059,2.0,12.0,6.0,0.598,0.603,0.142,102.26,0.065,malik beasley,Milwaukee Bucks Guard,Bucks Guard,Roster Position,2.0,8.509999999999998,35.101,28.79585,3.4999999999999996,27.57085
2023-24,1631260,AJ Green,1610612749,MIL,24.0,56,11.0,4.5,1.1,0.5,0.2,0.9,0.423,0.408,0.895,114.0,110.5,3.5,0.068,2.5,12.3,4.9,0.599,0.617,0.15,98.96,0.068,aj green,Milwaukee Bucks Guard,Bucks Guard,Roster Position,2.5,7.670000000000001,30.091,26.150350000000003,2.115,25.410100000000003
2023-24,1641748,Andre Jackson Jr.,1610612749,MIL,22.0,57,10.0,2.2,2.0,0.9,0.5,-1.6,0.5,0.37,0.727,112.3,119.6,-7.3,0.113,1.79,27.3,15.3,0.585,0.596,0.097,102.32,0.044,andre jackson jr,Milwaukee Bucks Guard,Bucks Guard,Roster Position,1.8,9.155000000000001,27.060000000000002,25.736250000000002,6.3549999999999995,23.512
2023-24,1630699,MarJon Beauchamp,1610612749,MIL,23.0,48,12.7,4.4,2.1,0.6,0.6,-0.3,0.488,0.4,0.679,113.5,114.5,-1.0,0.067,1.15,13.1,11.4,0.578,0.592,0.141,103.51,0.064,marjon beauchamp,Milwaukee Bucks Guard,Bucks Guard,Fallback Guard List,1.0,5.305,29.04,24.43175,5.1899999999999995,22.61525
2023-24,1631102,TyTy Washington Jr.,1610612749,MIL,22.0,11,5.1,1.3,0.5,0.5,0.2,-1.2,0.3,0.333,0.0,82.4,96.7,-14.3,0.161,2.5,18.5,7.4,0.35,0.35,0.165,105.15,0.05,tyty washington jr,Milwaukee Bucks Guard,Bucks Guard,Roster Position,2.5,11.39,17.286,20.5546,2.9899999999999998,19.508100000000002
2024-25,203081,Damian Lillard,1610612749,MIL,34.0,58,36.1,24.9,4.7,7.1,2.8,0.9,0.448,0.376,0.921,115.3,114.6,0.7,0.299,2.53,23.8,9.4,0.547,0.621,0.269,100.86,0.144,damian lillard,Milwaukee Bucks Guard,Bucks Guard,Roster Position,2.5357142857142856,32.855000000000004,46.167,45.758700000000005,8.89,42.647200000000005
2024-25,201935,James Harden,1610612746,LAC,35.0,79,35.3,22.8,5.8,8.7,4.3,4.4,0.41,0.352,0.874,115.4,109.2,6.2,0.365,2.01,26.9,13.4,0.501,0.582,0.286,98.82,0.145,james harden,James Harden,External Free Agent Target,Harden Target,2.0232558139534884,37.265,42.834,47.02765,13.29,42.37615
2024-25,1629645,Kevin Porter Jr.,1610612749,MIL,25.0,75,19.8,10.3,3.7,3.4,1.8,0.4,0.449,0.311,0.769,109.1,108.0,1.1,0.276,1.88,22.9,12.2,0.492,0.531,0.248,100.63,0.119,kevin porter jr,Milwaukee Bucks Guard,Bucks Guard,Roster Position,1.8888888888888888,21.360000000000003,30.557000000000002,33.35295000000001,7.869999999999999,30.598450000000007
